frequency,magnitude_db,phase_deg
208.9296131,-26.79329324,-38.59664955
213.796209,-26.86795909,-37.97292531
218.7761624,-26.94048348,-37.35340482
223.8721139,-27.01089336,-36.73838129
229.0867653,-27.07921737,-36.12813816
234.4228815,-27.14548573,-35.52294867
239.8832919,-27.20973016,-34.92307538
245.4708916,-27.27198372,-34.32876986
251.1886432,-27.33228075,-33.74027235
257.0395783,-27.39065673,-33.15781149
263.0267992,-27.44714816,-32.58160418
269.1534804,-27.50179245,-32.01185538
275.4228703,-27.55462782,-31.44875806
281.8382931,-27.60569316,-30.89249314
288.4031503,-27.65502795,-30.34322951
295.1209227,-27.70267215,-29.80112409
301.995172,-27.74866606,-29.26632195
309.0295433,-27.79305028,-28.73895639
316.227766,-27.83586554,-28.21914921
323.5936569,-27.87715269,-27.70701086
331.1311215,-27.91695253,-27.2026407
338.8441561,-27.95530579,-26.7061273
346.7368505,-27.99225302,-26.21754871
354.8133892,-28.02783451,-25.73697282
363.0780548,-28.06209027,-25.26445765
371.5352291,-28.09505989,-24.80005178
380.1893963,-28.12678254,-24.34379465
389.045145,-28.15729691,-23.89571699
398.1071706,-28.18664112,-23.45584119
407.3802778,-28.21485273,-23.02418172
416.8693835,-28.24196865,-22.60074549
426.5795188,-28.26802516,-22.1855323
436.5158322,-28.29305782,-21.7785352
446.6835922,-28.31710148,-21.37974092
457.0881896,-28.34019025,-20.98913024
467.7351413,-28.36235749,-20.60667841
478.6300923,-28.38363576,-20.23235548
489.7788194,-28.40405684,-19.86612674
501.1872336,-28.42365171,-19.50795306
512.861384,-28.44245056,-19.15779122
524.8074602,-28.46048276,-18.81559431
537.0317964,-28.47777686,-18.48131201
549.5408739,-28.49436061,-18.15489097
562.3413252,-28.51026097,-17.83627508
575.4399373,-28.52550407,-17.52540582
588.8436554,-28.54011527,-17.22222249
602.5595861,-28.55411914,-16.92666253
616.5950019,-28.56753948,-16.63866179
630.9573445,-28.58039931,-16.35815475
645.654229,-28.59272091,-16.08507481
660.693448,-28.60452584,-15.81935448
676.0829754,-28.61583491,-15.56092561
691.8309709,-28.62666823,-15.30971962
707.9457844,-28.63704523,-15.06566768
724.4359601,-28.64698466,-14.82870089
741.3102413,-28.65650459,-14.59875046
758.577575,-28.66562248,-14.37574791
776.2471166,-28.67435513,-14.15962518
794.3282347,-28.68271878,-13.9503148
812.8305162,-28.69072902,-13.74775004
831.7637711,-28.69840092,-13.55186501
